Date,Description,Category,Amount,Account
2025-11-06,Mercearia Maria,Mercado,1567.19,Cartão Visa (..5678)
2025-11-03,Amil Saúde,Saúde,181.04,Conta Corrente (..1234)
2025-11-03,PIX Recebido,Renda,-9858.47,Cartão Amex (..2005)
2025-11-02,Salário,Renda,-6080.39,Cartão Visa (..5678)
2025-11-02,Posto Shell,Transporte,381.61,Conta Corrente (..1234)
2025-11-01,Pagamento Freelance,Renda,-2695.32,Cartão Amex (..2005)
2025-10-31,Apple Plus,Assinaturas,62.99,Cartão Amex (..2005)
2025-10-31,Bradesco Saúde,Saúde,213.43,Cartão Visa (..5678)
2025-10-30,Amazon,Compras,131.41,Cartão Amex (..2005)
2025-10-30,Apple Plus,Assinaturas,365.17,Cartão Visa (..5678)
2025-10-30,Carrefour,Mercado,2544.68,Cartão Visa (..5678)
2025-10-30,iFood,Delivery,412.67,Cartão Amex (..2005)
2025-10-29,Internet,Contas,2696.16,Cartão Visa (..5678)
2025-10-29,Aluguel,Contas,4536.41,Conta Corrente (..1234)
2025-10-29,Coffee Lab,Alimentação,380.33,Cartão Visa (..5678)
2025-10-27,Assai,Mercado,2494.3,Cartão Amex (..2005)
2025-10-25,Rascal,Alimentação,399.34,Cartão Amex (..2005)
2025-10-25,Internet,Contas,4098.5,Cartão Amex (..2005)
2025-10-24,99Food,Delivery,311.98,Cartão Amex (..2005)
2025-10-24,Mercearia Maria,Mercado,625.96,Cartão Amex (..2005)
2025-10-24,Lojas Renner,Compras,211.53,Cartão Amex (..2005)
2025-10-24,Netflix,Assinaturas,37.17,Cartão Visa (..5678)
2025-10-23,Pagamento Freelance,Renda,-5332.86,Conta Corrente (..1234)
2025-10-22,Drogaria São Paulo,Saúde,86.56,Conta Corrente (..1234)
2025-10-21,Kotay Sushi,Alimentação,481.29,Cartão Amex (..2005)
2025-10-21,Academia,Saúde,87.71,Conta Corrente (..1234)
2025-10-20,Mercearia Maria,Mercado,1950.19,Cartão Amex (..2005)
2025-10-19,Uber,Transporte,436.32,Cartão Amex (..2005)
2025-10-19,Churrascaria,Alimentação,40.43,Cartão Visa (..5678)
2025-10-18,Carrefour,Mercado,1113.01,Cartão Visa (..5678)
2025-10-17,Shopper,Mercado,714.28,Conta Corrente (..1234)
2025-10-17,Carrefour,Mercado,1099.74,Cartão Amex (..2005)
2025-10-16,Pão de Açúcar,Mercado,869.33,Cartão Amex (..2005)
2025-10-15,Droga Raia,Saúde,181.44,Conta Corrente (..1234)
2025-10-14,Sem Parar,Transporte,208.36,Conta Corrente (..1234)
